Сумма руб.
-1255.8
-1255.8
-1255.8
-1255.8
-1255.8
-1365.0
-1365.0
-1793.4
-1951.22
-2017.75
-2017.75
-2017.75
-3159802.64
1951.22
1255.8
2017.75
2017.75
1365.0
1255.8
1255.8
1365.0
3159802.64
1793.4
1255.8
1255.8
917.76
1036.55
3727.58
4014.57
4795.88
770.18
80.22
-4002.86
-989.88
-4263.61
